episode_id,url,title,summary
1,https://www.thisamericanlife.org/1/new-beginnings,New Beginnings,Our very first broadcast.
2,https://www.thisamericanlife.org/2/small-scale-sin,Small Scale Sin,Three teenage boys tell us about their forays into low-level credit card hacking.
3,https://www.thisamericanlife.org/3/poultry-slam-1995,Poultry Slam 1995,"Decrying the wonders of turkeys, chickens, and other fowl."
4,https://www.thisamericanlife.org/4/vacations,Vacations,Vacations gone awry—or perhaps vacations that never should have happened.
5,https://www.thisamericanlife.org/5/anger-and-forgiveness,Anger and Forgiveness,"Stories that reveal the societal ""trend"" toward anger and away from genuine forgiveness."
6,https://www.thisamericanlife.org/6/christmas,Christmas,A Christmas radio play by David Sedaris.
7,https://www.thisamericanlife.org/7/quitting,Quitting,People who quit everything in their lives that they hated.
8,https://www.thisamericanlife.org/8/new-year,New Year,Reflecting back on 1995.
9,https://www.thisamericanlife.org/9/julia-sweeney,Julia Sweeney,Julia Sweeney and her brother found out they each had cancer six months apart.
10,https://www.thisamericanlife.org/10/double-lives,Double Lives,"People living their lives, just like the rest of us. Plus an extra life."
11,https://www.thisamericanlife.org/11/enemies,Enemies,A friendship between two young boys that was destroyed through the manipulative acts of one of them.
12,https://www.thisamericanlife.org/12/animals,Animals,"The animalness of animals, and the irreducible ways in which they are not human."
13,https://www.thisamericanlife.org/13/love,Love,The dream of true love and the difficulties with achieving and maintaining that dream.
14,https://www.thisamericanlife.org/14/accidental-documentaries,Accidental Documentaries,Stories made from old recordings found in attics and thrift stores.
15,https://www.thisamericanlife.org/15/dawn,Dawn,Jack Hitt stumbles onto an epic story of the Old South and changing cultural norms in America.
16,https://www.thisamericanlife.org/16/economy,Economy,"Politics, the economy, and the big picture."
17,https://www.thisamericanlife.org/17/name-change-no-theme,Name Change / No Theme,Our first show as This American Life.
18,https://www.thisamericanlife.org/18/liars,Liars,A girl who adored her father tries to figure out what to think after he takes some of her college money and lies to her about it.
19,https://www.thisamericanlife.org/19/rich-guys,Rich Guys,"Men who had comfortable, decent lives, yet decided to do something wild and eccentric."
20,https://www.thisamericanlife.org/20/from-a-distance,From A Distance,"Stories of admiring someone from afar, and trying to get closer to them."
21,https://www.thisamericanlife.org/21/factions,Factions,"Friends get together to start a business, start a church, do political action together. And after a while, they start fighting and split up."
22,https://www.thisamericanlife.org/22/adult-children,Adult Children,Stories of the difficult relationships between parents and their grown children.
23,https://www.thisamericanlife.org/23/drama-bug,Drama Bug,Stories of the people who fall for a life in the theater.
24,https://www.thisamericanlife.org/24/teenaged-girls,Teenaged Girls,Girls who have to figure out how they're going to act when the ground rules are constantly shifting.
25,https://www.thisamericanlife.org/25/basketball,Basketball,The Chicago Bulls and their grip on Chicagoans' hearts and lives during the NBA playoffs.
26,https://www.thisamericanlife.org/26/fathers-day-96,Father's Day '96,"Ira's own father, Barry Glass, co-hosts this special Father's Day show."
